Book,Date,Pg. Number,Document Pg. Number,Header,Entry
Diary 1861-1877,1861-12-01,105,130,N/A,"Dec 1. My cough became very bad last night and this morning, and my head
being much shaken I spent the morning in reading Orley Farm and the
newspapers. In the evening read Gold win Smith's answer to Mansel. Charlie
came home!"
Diary 1861-1877,1861-12-02,105,130,N/A,"2. Monday. Read Epictetus and Politian's letters. In the evening Bekker's
Charikles."
Diary 1861-1877,1861-12-(03-07),105,130,N/A,"3-7. I continued very unwell until Saturday, when I felt a little better. In the evening, Dr. Baetcke, Mr. Pigott and Mr. Redford."
Diary 1861-1877,1861-12-08,105,130,N/A,"8. Sunday. G. had a bad headache, so we walked out in the morning sunshine. I
told him my conception of my story, and he expressed great delight. Shall I ever
be able to carry out my ideas? Flashes of hope are succeeded by long intervals of dim distrust. Finished the 8th vol. of Lastri, and began the IXth chapter of Varchi in which he gives an account of Florence."
Diary 1861-1877,1861-12-09,106,131,N/A,"9. Finished the Encheiridion of Epictetus. Wrote sketches of scenes. Finished
the IXth chapter of Varchi, which contains many passages highly interesting to
me. There came from the library Rody de Graecis Illustribus, in which I looked
at the life of Marullus; Middleton's Free Inquiry, which is not the book I wanted, namely, the Letter from Rome; and Poggiana. G. brings me word from the
British Museum, that Filelfo's letters are translated into Italian."
Diary 1861-1877,1861-12-10,106,131,N/A,"10. Wrote to Mr. and Mrs. Trollope. Went to the British Museum. Found some
details in Ammirato's Famiglie Nobili Fiorentini. Filelfo's supposed ""translated
letters"" was all a mistake. However coming home we bought a little copy of his
letters which we found at Baldock's. In the evening I read Muratori on the
Confraternità."
Diary 1861-1877,1861-12-11,106,131,N/A,"11. Received from Holbeche £47.11.0. Went to the British Museum after lunch
and read in Litta's ""Famiglie"". Made notes in the evening from Marullus' Life in
Hody. In the morning wrote a scheme of my plot."
Diary 1861-1877,1861-12-12,106,131,N/A,"*12. Read Sacchetti and the Letters of Filelfo. Finished writing my plot, of
which I must make several other draughts before I begin to write my book."
Diary 1861-1877,1861-12-13,106,131,N/A,"13. Read Poggiana and finished looking through Filelfo's letters. In the
afternoon walked to Molini's and brought back Savonarola's Dialogue, de
veritate Profetica, and Compendium Revelationum, for £4! In the evening looked
over the 9th Book ofVarchi again."
Diary 1861-1877,1861-12-14,106,131,N/A,"14. Read half through the dialogue de Veritate Profetica. Read the Newspapers. In the evening came Mr. Huxley, Mr. Pigott and Mr. Redford."
Diary 1861-1877,1861-12-15,106,131,N/A,"15. Sunday. Read through Middleton's Letter from Rome, and finished de
Veritate Profetica."
Diary 1861-1877,1861-12-16,106,131,N/A,16. Read the Compendium Revelation um. In the evening Lastri.
Diary 1861-1877,1861-12-17,106,131,N/A,"17. Studied the topography of Florence. Read the IXth vol ofLastri, and some
of Sacchetti."
Diary 1861-1877,1861-12-18,106,131,N/A,"18. Read Sacchetti, Macchiavelli's History, and Heeren on the XVth Century.
Began Lastri X."
Diary 1861-1877,1861-12-19,106,131,N/A,"19. Read Theocritus, and Politian's Letters, and Sacchetti. Miss Allen came in
the evening. The Aldine Edition of Politian came."
Diary 1861-1877,1861-12-21,106,131,N/A,"21. Walked toward Hampstead, in the morning."
Diary 1861-1877,1861-12-22,106,131,N/A,"22. Read Politian's Lamia, and the Osservatore. Mr. Blackwood came to lunch
with us. Then we walked to Nursie's. In the evening wrote notes, and read
Osservatore."
Diary 1861-1877,1861-12-23,106,131,N/A,"23. Continued Politian's Lamia. Read xm and XIV vols ofLastri. Mr. and Mrs.
Blackwood came. Read Sacchetti, and Lastri in the evening."
Diary 1861-1877,1861-12-24,106,131,N/A,"24. Walked into town bookhunting, and bought Ammirato and Malmantile."
Diary 1861-1877,1861-12-25,107,132,N/A,"25. Christmas day. We spent this day with all blessings surrounding us. Only our
trio to eat the turkey and plum pudding. We had asked poor Miss Allen if she
would be alone, and if so we would have had her join us; but she was going to
her mother's. Mr Spencer, our other lonely friend had got his brother with him,
so that we could have the pleasure of being simply en famille without prickings
of conscience for our selfishness."
Diary 1861-1877,1861-12-26,107,132,N/A,"26. Read the Malmantile. Reviewed my notes. Received a letter from ""Jane
Evans"" asking me for a negative photograph of myself to aid her in building a
school. Wrote in answer. Read Sacchetti, and Luigi Pulci's novel, and part of
Lasca's story ofLorenzo and the Medico Manente."
Diary 1861-1877,1861-12-27&28,107,132,N/A,"27 and 28. Read Marullo's epigrams, and studied details about Florence. On
Saturday rather a dull evening with Mr. Spencer, Mr Pigott and Mr. Redford."
Diary 1861-1877,1861-12-29,107,132,N/A,"29. Sunday. Read passage from Du Bois Reymond's book on Johannes Mueller,
 à propos of visions. Finished Libro 1 of Machiavelli's Istorie. Read Blackwood
and wrote out notes on the Monastic orders."
Diary 1861-1877,1861-12-(30-31),107,132,N/A,"30 and 31. Read Topography and Chronology. Walked into town with G. to the
Bank. Read Sacchetti and Machiavelli."
Diary 1861-1877,1862-01-01,107,132,N/A,"1862. Jan 1. Mr Blackwood sent me a note enclosing a letter from Montalembert
about Silas Marner, and a few hours after a china Pug as a memorial of my flesh
and blood Pug, lost about a year ago.
I began my Novel of Romola ."
Diary 1861-1877,1862-01-02,107,132,N/A,2. Mr. Blackwood called. I wrote part of an Introductory chapter.
Diary 1861-1877,1862-01-(03-04),107,132,N/A,"3. 4. A slight sore throat. A stupid evening on Saturday. Only Dr. Baetcke and
Mr. Pigott. G. going poorly to bed."
Diary 1861-1877,1862-01-05,107,132,N/A,"5. Sunday. An unproductive morning, from inefficiency ofbrain. Mr. Spencer
came after lunch and chatted for an hour. Then I walked with Charlie. My cold
became worse."
Diary 1861-1877,1862-01-09,107,132,N/A,"*9. Much troubled by my cold since Sunday. G. also poorly. Made index to
Osservatore, and read Juvenal, Pulci, Macchiavelli etc."
Diary 1861-1877,1862-01-11,107,132,N/A,"11. A dreadful headache made the prospect of company a heavy one. Mrs. Peter Taylor and Miss Remond were of our party, Mr. Spencer and his father, Dr. Baetcke etc."
Diary 1861-1877,1862-01-12,107,132,N/A,"12. Sunday. My head still very bad. Read newspapers only. Blackwood came in
the afternoon."
Diary 1861-1877,1862-01-13,107,132,N/A,"13. Letters from Sara and Cara, telling their pleasure in Mr. Noel's visit to them.
My head was still too feeble for me to work efficiently. In the evening I read the
Apocryphaa nd Muller's book on Language. Finished Macchiavelli's Itsorie."
Diary 1861-1877,1862-01-14,108,133,N/A,"14. My head better at last. I wrote a continuation of my introductory chapter.
In the evening read Macchiavelli. G. very poorly."
Diary 1861-1877,1862-01-18,108,133,N/A,"18. Saturday. We had an agreeable evening. Mr. Burton and Mr. Clark of
Cambridge made an acceptable variety in our party."
Diary 1861-1877,1862-01-19,108,133,N/A,"19. My head became very bad, and I was unable to write or read."
Diary 1861-1877,1862-01-20,108,133,N/A,"20. Head still bad, producing terrible depression. Read Muller"
Diary 1861-1877,1862-01-21,108,133,N/A,"21. My head a little better in the evening, when I finished Müller's Lectures on
Language."
Diary 1861-1877,1862-01-22,108,133,N/A,"22. Able to write again. Looked at the Chronicle of the conquest of the Morea
yesterday, and into Finlay's History of Medieval Greece."
Diary 1861-1877,1862-01-23,108,133,N/A,"23. Wrote again, feeling in brighter spirits. Mr. Smith the publisher called and
had an interview with G. He asked if I were open to ""a magnificent offer"". This
made me think about money- but it is better for me not to be rich."
Diary 1861-1877,1862-01-24,108,133,N/A,"24. Our heads being frail, we walked to the British Museum, and I wrote out
Antonio Pucci's poem on the Mercato Vecchio."
Diary 1861-1877,1862-01-25,108,133,N/A,"25. We went to the British Museum through the rain, and I made some notes
from Cambi. Came home to lunch. Read Newspapers. In the evening our usual
party and music."
Diary 1861-1877,1862-01-26,108,133,N/A,"26. Sunday. Detained from writing by the necessity of gathering particulars: 1°.
about Lorenzo de' Medici's death; 2°. about the possible retardation of Easter;
3°. about Corpus Christi day; 4°. about Savonarola's preaching in the Qμaresima
of 1492. Walked with Mr. Spencer to the zoological gardens. Finished La
Mandragola, second time reading for the sake of Florentine expressions, and
began La Calandra. Yesterday we received a letter from Mr. and Mrs. Trollope."
Diary 1861-1877,1862-01-31,108,133,N/A,"Jan. 31. The last day of this month! This evening I have been reading to G. some
entries in my note-book of past times in which I recorded my malaisean d
despair. But it is impossible to me to believe that I have ever been in so
unpromising and despairing a state as I now feel. - After writing these words,
I read to G. the Proem and opening scene of my novel and he expressed great
delight in them."
Diary 1861-1877,1862-02-03,108,133,N/A,"* Feb. 3. On Saturday we went to Drury to see the Pantomime at 2 o'clock. G and I walked home but felt rather poisoned all the evening by the theatre air. Mr. Burton was of our party in the evening, with Mr. Spencer and Mr. Redford. On
Sunday we walked to Nursie's in the afternoon. In the morning I had written
some dialogue and done a fair bit of work, but the rest of the day I was very
feeble, unable to do more than read newspapers. This morning was brilliant and
G. tempted me out to walk to Hampstead. We returned at 1/2 past 11 and I wrote
till lunch. This evening Charley has read to us the 12th No. of Orley Farm, which is interesting so far as it pursues the main path of the story- the fortunes of
Lady Mason."
Diary 1861-1877,1862-02-07,109,134,N/A,"7. A week of February already gone! I have been obliged to be very moderate in work, from feebleness of head and body; but I have re-written with additions
the first chapter of my book. I have done little reading in the last week. At present I am running along with Pulci, and have got interested in the paladins, but I find him less full of point and idiom than I expected after the first Canto or two. The other day Mr. G. Smith called and offered me 250 guineas for my story of the Idiot Brother, which George mentioned as lying by me. I am not quite certain yet whether I shall accept. Today we have been to the London Library and I have read J. Mill's article on ""The American Contest"". Mrs. Hooper called and brought me her little book."
Diary 1861-1877,1862-02-10,109,134,N/A,10. Sunday. I was very ill with headache and sickness.
Diary 1861-1877,1862-02-11,109,134,N/A,"11. We set off to Dorking, and took up our old quarters at the White Horse. The
day was lovely, and on arriving, we at once set out on a walk through Mr. Hope's
Park to Betchworth, then returned to our inn and dined at 1/2 past 4. In the
evening I read aloud von Sybel's Lectures on the Crusades."
Diary 1861-1877,1862-02-12,109,134,N/A,"12. The day was grey, but the air was fresh and pleasant. We walked to Wootton
Park- Evelyn's Wootton - lunched at a little roadside inn there and returned to
Dorking to dine. I continued von Sybel in the evening."
Diary 1861-1877,1862-02-13,109,134,N/A,"13. There had been rain in the night, so we determined to come home by the 1/2
past eleven train; but this allowed us time for a little walk. We arrived at home at
1/2 past 1, and found Charlie's long-missing box, just come before us-a very
welcome sight. During our stay at Dorking I have finished the first 12 cantos of
Pulci."
Diary 1861-1877,1862-02-17,109,134,N/A,"Feb.17. Monday. I have written only the two first chapters of my novel besides
the Proem, and I have an oppressive sense of the far-stretching task before me,
health being feeble just now. On Saturday, Dr. Wyatt, Mr. F. Chapman, and Mr.
Boner from Munich were our visitors. I was much fatigued and consequently
not well on Sunday. We walked to Hampstead in a very cold wind. Today there
has been constant rain and fog, and I have not been out of doors."
Diary 1861-1877,1862-02-19,109,134,N/A,"19. This evening I read aloud to G. again, at his request the first 45 pages of my romance, Charlie also being present. The rain has been constant all day. Nevertheless we have been to the British Museum, and I have picked some details from Manni's life ofBartolommeo Scala-also from Borghini's Discorsi, about the simplicity of the Florentine table equipage.

I have lately read again with great delight Mrs. Browning's Casa Guidi
Windows. It contains amongst other admirable things a very noble expression of what I believe to be the true relation of the religious mind to the Past."
Diary 1861-1877,1862-02-26,109-110,134-135,N/A,"26. I have been very ailing all this last week and have worked under impeding
discouragement. I have a distrust in myself, in my work, in others' loving acceptance of it which robs my otherwise happy life of all joy. I ask myself, without being able to answer, whether I have ever before felt so chilled and
oppressed. On Saturday pleasant Mr. Williams from Birmingham joined our party. Yesterday, G. and I went to Egham by railway and walked on to Englefield Green to see a house which is to be letthere. We were pleased to have found out a beautiful country where we may, if we like, have lodgings at the Barley Mow Inn. I have written now about 60 pages of my romance. Will it ever be finished? - ever be worth anything?"
Diary 1861-1877,1862-02-27,110,135,N/A,"27. George Smith, the publisher, brought the proof of G.'s book ""Animal
Studies"", and laid before him a proposition to give me £10,000 for my new novel
- i.e. for its appearance in the Cornhill and the entire copyright at home and
abroad."
Diary 1861-1877,1862-03-01,110,135,N/A,"March
*1. Saturday. The idea of my novel appearing in the Cornhill is given up, as G.
Smith wishes to have it commenced in May, and I cannot consent to begin
publication until I have seen nearly to the end of the work. In the evening we
had Mr. Scharf, Mr. Desmond, Mr. Burton, Mr. Pigott and Mr. Redford, with Mr. Spencer as usual. I was not well, but got through the evening better than I expected."
Diary 1861-1877,1862-03-03,110,135,N/A,"3. Still very feeble, and unable to write. The day turned out fine, after signs of
oncoming snow, and we walked in the Park and Zoological Gardens. Finished
Vol. 2 of the Morgante."
Diary 1861-1877,1862-03-11,110,135,N/A,"11. On Wednesday last, the 5th, G. and I set off to Englefield Green where we
have spent a delightful week, and have returned this afternoon. I have finished
Pulci there, and read aloud the Chateau d'If to G."
Diary 1861-1877,1862-03-24,110,135,N/A,"24. Monday. After enjoying our week at Egham I returned to protracted headache and discomfort. G. too, has been, and is, very ailing. Miss Rennell paid us three visits after our return: another incident was a bit of unwonted dissipation - our going to the theatre to see an amusing piece in which Mr.
Frank Matthews was admirably disagreeable as an intimate friend. Last Saturday
we received as usual, and our party was joined by Mr. and Mrs. Noel. I have begun the Fourth Chapter of my novel, but have been working under a weight. During the interval I am noting down Mr. Simpson has been, from Edinburgh
and has brought us a pleasing account of Thornie."
Diary 1861-1877,1862-03-27,110,135,N/A,"*27. I have been lately reading some books on the mediæval condition of Greece, sent by Mr. Clark from Cambridge, and this morning not being well enough to write I have been running through Wordsworth's Greece and studying the geography."
Diary 1861-1877,1862-03-28,110,135,N/A,28. Finished Wordsworth's Greece
Diary 1861-1877,1862-03-29,110,135,N/A,29. Saturday. In the evening we had only Mr. Scharf and Mr. Redford
Diary 1861-1877,1862-03-30,110,135,N/A,30. Wrote very little having a head-ache threatening me.
Diary 1861-1877,1862-03-31,110,135,N/A,"31. Again wrote Ii ttle. In the evening went to a concert at St.James' s Hall and
heard Joachim."
Diary 1861-1877,1862-04-01,111,136,N/A,"Aprill. Rainy weather. My head very infirm, so that I could do nothing in the
evening."
Diary 1861-1877,1862-04-02,111,136,N/A,"2. Better this morning, writing with enjoyment. At the 77th page. Read Juvenal
this morning, and Nisard- Poetes Latins de la Decadence in the evening."
Diary 1861-1877,1862-04-16,111,136,N/A,"16. As I had been very ailing for a fortnight and more, we resolved to go to Dorking and set off today."
Diary 1861-1877,1862-05-06,111,136,N/A,"May 6. We returned from Dorking after a stay of three weeks, during which we
have had delicious weather. The first Saturday Charlie came down to see us. He
is since gone on his holiday to Geneva, and we are alone in Blandford Square this evening, feeling much better and stronger for our furlough from town, and hoping to work well."
Diary 1861-1877,1862-05-09,111,136,N/A,"9. Yesterday we heard from Charles of his safe arrival at Geneva. Mr. G. Smith
the Publisher came, and it was agreed that George should assist with his advice
in the administration of the Cornhill, at £so per number."
Diary 1861-1877,1862-05-10,111,136,N/A,"10. At p. 149 of my novel. This afternoon we went to the rehearsal of the New
Philharmonic."
Diary 1861-1877,1862-05-17,111,136,N/A,*17
Diary 1861-1877,1862-05-23,111,136,N/A,"23. Since I wrote last very important decisions have been made. I am to publish
my novel of Romola in the Cornhill Magazine for £7000 paid in twelve monthly
payments. There has been the regret of leaving Blackwood, who has written me a letter in the most perfect spirit of gentlemanliness and good feeling. - We have had one painful disappointment- more painful than almost anything that has occurred to us for years, namely, a letter from Mr. Trollope telling us that Charles is not thought well of as a worker at the Post Office. We have yet to learn how far he is himself conscious of any ground for complaint. 

Yesterday, Mr. Leighton the artist came to see me about the illustrations to my novel which he is going to undertake. Today Mr. T. Trollope came to see us,
on his arrival from Florence."
Diary 1861-1877,1862-05-26,111,136,N/A,"26. Received a pleasant letter from Mr. Leighton. In the afternoon we went to
the Exhibition of Water Colours and saw Mr. Burton's admirable heads."
Diary 1861-1877,1862-05-27,111,136,N/A,"27. Mr. Helps, Mr. Burton and Mr. T. Trollope dined with us."
Diary 1861-1877,1862-05-31,111,136,N/A,"31. Saturday. Finished the second part, extending to page 183. Charles came home at night."
Diary 1861-1877,1862-06-10,111,136,N/A,"*June 10. Since the last record, we have been so far comforted about Charles,
that we find there has been no conscious slackness in duty on his part, and that
his character is very generally liked by his comrades and superiors. There is only
slowness of apprehension and of execution. I have not made quite so much way
in my new part as I had hoped to do in these first 10 days."
Diary 1861-1877,1862-06-13,111,136,N/A,13. At p. 2112. 2. Read the third part to G. ending with Tessa's marriage.
Diary 1861-1877,1862-06-23&24,112,137,N/A,"23, 24. Made a few additions to the part, having a headache which prevented
me from working vigorously"
Diary 1861-1877,1862-06-25,112,137,N/A,"25. Yesterday afternoon G. took the 3rd Part to the printers, and this morning
I begin the 4th.         



Thornton came from Edinburgh for his Examination on the 21."
Diary 1861-1877,1862-06-30,112,137,N/A,"June 30. I have at present written only the scene between Romola and her
brother in San Marco towards Part IV. On Friday we went to the International
Exhibition with Mrs. Bodichon, and in the evening to the Opera to hear the
Huguenots: On Saturday Evening Mrs. Bray came to see us. And this morning
I had a delightful, generous letter from Mr. Anthony Trollope about Romola."
Diary 1861-1877,1862-07-06,112,137,N/A,"July 6. *. The past week has been unfruitful from various causes. I have not been
sufficiently determined in my resistance to sensational and external hindrances. The consequence is, that I am no further on in my MSS. and have lost the excellent start my early completion of the 3rd Part had given me."
Diary 1861-1877,1862-07-10,112,137,N/A,"10. A dreadful palsy has beset me for the last few days - I have scarcely made any
progress. Yet I have been very well in body. G. has had a severe bilious attack, but
today is better. Thornton has started for Switzerland yesterday and today I have
been reading a book often referred to by Hallam: Meiners' Lives of Picus von
Mirando la and Politian. They are excellent. They have German industry and are
succinctly and clearly written."
Diary 1861-1877,1862-07-11,112,137,N/A,11. At p. 3o of Part IV.
Diary 1861-1877,1862-07-17,112,137,N/A,17. G. set off for Spa.
Diary 1861-1877,1862-07-21,112,137,N/A,21. At p. 59 of Part IV.
Diary 1861-1877,1862-07-31,112,137,N/A,"31. Finished Part IV, pp. 94."
Diary 1861-1877,1862-08-02,112,137,N/A,*August 2. This evening G .returned bright and well from Spa.
Diary 1861-1877,1862-08-06,112,137,N/A,"6. Having had a new scene to insert in Part IV and not having been well, I have
not yet begun Part v. -10. Thornie came back for 3 days."
Diary 1861-1877,1862-08-24,112,137,N/A,"24. Read aloud Part v to G. up top. 45. On the 5th or 6th came to us the news
that Thornie had passed his examination."
Diary 1861-1877,1862-08-25,112,137,N/A,25. Bad headache.
Diary 1861-1877,1862-08-26,112,137,N/A,26. Altered Chapter 1 of Part v.
Diary 1861-1877,1862-08-28,112,137,N/A,*28. Not being very well my writing has halted a little this week.
Diary 1861-1877,1862-08-30,112,137,N/A,"30. Grandma lunched with us, and we drove in Hyde Park."
Diary 1861-1877,1862-09-03,112,137,N/A,"Sep. 3. Sent Part v to press. Packed in preparation for going to Worthing. Last
evening we went to see Charles Mathews."
Diary 1861-1877,1862-09-23,113,138,N/A,"*23. Returned from our stay in the country-first at the Beach Hotel, Little
Hampton, and for the last three days at Dorking. At p. 54 of Part VI. Dantev. I."
Diary 1861-1877,1862-09-26,113,138,N/A,"26. At p. 62. Yesterday a letter came from Mr. T. Trollope full of encouragement for me. Ebenezer!-Pitti, Istorie. Boccaccio."
Diary 1861-1877,1862-09-30,113,138,N/A,"30. The last day of the month. At p. 72- not yet at the end of my December part. After 3 days of horrible fog and rain, a clear sky. We walked towards Hampstead,
but were overtaken by rain. Read Savonarola on Amos."
Diary 1861-1877,1862-10-01,113,138,N/A,"October 1. A delicious, clear day. We walked to Hampstead."
Diary 1861-1877,1862-10-02,113,138,N/A,2. At p. 85. Scene between Tito and Romola.
Diary 1861-1877,1862-10-03,113,138,N/A,3. Finished Part VI.
Diary 1861-1877,1862-10-06,113,138,N/A,6. Monday. Began part VII having occupied the intermediate days in planning.
Diary 1861-1877,1862-10-13,113,138,N/A,"13. Monday. Read aloud to G. up top. 37 of Part VII. - Mr Spencer lunched with us and we walked with him to the Zoo. to see the Catfish and the Limulus. Reading once again the Processoif Savonarola, and Vol.I II of Boccaccio."
Diary 1861-1877,1862-10-18,113,138,N/A,*18. An unfruitful week. Only at p. 45 of Part VII
Diary 1861-1877,1862-10-20,113,138,N/A,"20. Wrote nothing because of indisposition. Began ""II Principe"". 22. Received
£180 from Blackwood for Adam Bede. 6/- ed."
Diary 1861-1877,1862-10-24,113,138,N/A,"24. Only at p. 51, having rejected a chapter which I had begun, and determined
to defer it to the next Part."
Diary 1861-1877,1862-10-25,113,138,N/A,"25. We had friends to dinner, and in the evening were joined by Mr. Williams
etc."
Diary 1861-1877,1862-10-26,113,138,N/A,"26. An unfruitful morning, consequent on the excitement of the evening."
Diary 1861-1877,1862-10-31,113,138,N/A,"Oct 31. Finished Part VII having determined to end at the point where Romola
has left Florence."
Diary 1861-1877,1862-11-10,113,138,N/A,"Nov. 10. Only at p. 18, not being in working order."
Diary 1861-1877,1862-11-14,113,138,N/A,*14. Finished reading Boccaccio through for the second time.
Diary 1861-1877,1862-11-17,113,138,N/A,17. Read the Orfeo and Stanze of Poliziano. The latter are wonderfully fine for a youth of 16. They contain a description of a Palace ofVenus which seems the suggestion ofTennyson's Palace of Art in many points.
Diary 1861-1877,1862-11-18,113,138,N/A,18. At p. 42 of Part VIII. Read it aloud to G.
Diary 1861-1877,1862-11-25,113,138,N/A,25. At p. 59. Read aloud the scene between Romola and Savonarola
Diary 1861-1877,1862-11-28,113,138,N/A,28. Wretched headache.
Diary 1861-1877,1862-11-30,113,138,N/A,30. Sunday. Finished Part VIII. Mr. Burton came.
Diary 1861-1877,1862-12-09,113,138,N/A,December 9. Tuesday. Violent attack of sick headache.
Diary 1861-1877,1862-12-10,114,139,N/A,*10. Still headache. Letter from Mr. Craik.
Diary 1861-1877,1862-12-11,114,139,N/A,11. do.
Diary 1861-1877,1862-12-12,114,139,N/A,12. Still too ailing to work.
Diary 1861-1877,1862-12-13,114,139,N/A,13. Able to write a little. Mr. Spencer came in the evening.
Diary 1861-1877,1862-12-16,114,139,N/A,"16. Writing but without inspiration. In the evening Browning paid us a visit
for the first time."
Diary 1861-1877,1862-12-17,114,139,N/A,"17. At p. 22 only. I am extremely spiritless - dead, and hopeless about my
writing. The long state of headache and disordered liver has left me in
depression and incapacity. The constantly heavy, clouded and often wet
weather, tends to increase the depression. I am inwardly irritable and unvisited
by good thoughts. Reading the Purgatorio again, and the Compendium Revelation um of Savonarola ... After this record, I read aloud what I had written of Part IX to George, and he to my surprize entirely approved it."
Diary 1861-1877,1862-12-19&20,114,139,N/A,"19, 20. Wretched hemicrania beset me again and prevented me from working."
Diary 1861-1877,1862-12-21,114,139,N/A,21. This shortest day of the year there was a bitterly cold wind. I was a little better.
Diary 1861-1877,1862-12-22,114,139,N/A,22. At p. 33. Finished Compendium Revelationum for the second time.
Diary 1861-1877,1862-12-24,114,139,N/A,"24. Mrs F. Malleson brought me a beautiful plant as a Christmas offering. In the
evening we went to hear the Messiah at Her Majesty's Theatre. Mrs. Harrison,
who sat behind us, told us of Mr. Congreve's severe illness. I enjoyed the Messiah greatly in spite of a rather unsatisfactory performance - no organ and an ill-trained chorus."
Diary 1861-1877,1862-12-25,114,139,N/A,"25. We had a happy Christmas Day- dining alone with the Boy. In the evening
Pater sang Mozart for two hours. The day was sunshiny and mild."
Diary 1861-1877,1862-12-26,114,139,N/A,"26. Very good for nothing in health, and consequently depressed about my
work. Wrote to Bertie."
Diary 1861-1877,1862-12-27,114,139,N/A,27. Making little way. Only at p. 44!
Diary 1861-1877,1862-12-31,114-115,139-140,N/A,"31. Last day of the kind old year. Clear and pleasantly mild. At p. 58 of my 9th
Part which I think will be the dullest that has yet come. Yesterday a pleasant
message from Mr. Hannay about Romola.

We have had many blessings this year-opportunities which have enabled us to acquire an abundant independence, the satisfactory progress of our two eldest boys, various grounds of happiness in our work, and ever growing
happiness in each other. I hope with trembling that the coming year may be as comforting a retrospect: with trembling, because my work is not yet done. Besides the finishing of Romola, we have to think of Thornie's passing his final examination, and, in case of success, his going out to India: of Bertie's leaving
Hofwyl: and of our finding a new residence. G.'s health has been very variable and frequently infirm. I have had more than my average amount of comfortable
health until this last month in which I have been constantly ailing and my work has suffered proportionately."
Diary 1861-1877,1863-01-01,115,140,N/A,"1863. January 1. Grandmamma came to lunch with us and we drove her round Hyde Park. My head was infirm all day, so that I could do little. The weather is
still very mild, but the year has entered like a lion, with roaring winds."
Diary 1861-1877,1863-01-03,115,140,N/A,"3. At p. 66 of Part IX, hoping to finish it tomorrow. A clear day. G. and I walked
towards Hampstead."
Diary 1861-1877,1863-01-04,115,140,N/A,"4. Finished Part IX. Read it aloud in the evening, and brought on a dreadful
headache, which lasted nearly all the next day. Pleasant words from Anthony
Trollope."
Diary 1861-1877,1863-01-06,115,140,N/A,"*6. Spent the morning in planning, having a feeble head. Read the Purgatorio
in the evening"
Diary 1861-1877,1863-01-07,115,140,N/A,"7. We went in the evening to Exeter Hall to hear Judas Maccabæus, and were
thrilled by Sims Reeves's fine singing of""Sound an alarm!"""
Diary 1861-1877,1863-01-08,115,140,N/A,"8. G. went to dine at Theodore Martin's and met Helps. He brought me the
encouraging word that Theodore highly enjoys Romola, and thinks it the finest thing I have done. Finished the Purgatorio second time."
Diary 1861-1877,1863-01-10,115,140,N/A,"10. Began Part x. In the evening came Mr. Redford and Mr. Pigott and we had
singing."
Diary 1861-1877,1863-01-11&12,115,140,N/A,"11, 12. Made little way, not being well. Wrote a letter to Blackwood about the
third vol. of my ""Works""."
Diary 1861-1877,1863-01-22,115,140,N/A,"22. We had Browning, Anthony Trollope, Mr. Burton and Mr. Scharf to dine
with us."
Diary 1861-1877,1863-01-23,115,140,N/A,"23. Feeling very poorly we set off to Dorking in the morning, and had a delicious walk there before dinner. I felt better with only a few hours of country
air and quiet."
Diary 1861-1877,1863-01-26,115,140,N/A,"26. Monday. We returned from Dorking, and found all well at home. I have still
about 25 pages of my Xth part to write."
Diary 1861-1877,1863-01-30,115,140,N/A,*30. Having deferred a portion of what I have written I am thrown back a little in my Part.
Diary 1861-1877,1863-02-01,115,140,N/A,Feb. 1. At p. 39.
Diary 1861-1877,1863-02-02,115,140,N/A,"2. 43. Very encouraging news about Romola came through Mr. Smith this
morning. Millais reported that at a party at Lady de Grey's she said it was the
finest book she had ever read: the expression of opinion passed round the
company and it was unanimous in the same sense. Ebenezer!"
Diary 1861-1877,1863-02-04,115,140,N/A,Feb. 4. Finished Part IX.
Diary 1861-1877,1863-02-06,116,141,N/A,"6. Charles set off for Switzerland yesterday evening. Not well, or else blamable, for I did nothing effective this morning. Mr. William Blackwood called
yesterday about Clerical Scenes and Silas Marner, and I wrote to Mr.John
Blackwood on the subject this morning."
Diary 1861-1877,1863-02-07,116,141,N/A,7. Browning came and sat with us through the evening. In the afternoon we went with Herbert Spencer to the Zoological Gardens
Diary 1861-1877,1863-02-08,116,141,N/A,8. Sunday. Mr. Burton called and we took him to the Zoo. I was not well in the evening and could do nothing.
Diary 1861-1877,1863-02-11,116,141,N/A,"11. At p. 22 of Part XI. After lunch we went to the National Gallery. Mr. Smith
brought pleasant news about Romola, saying that the opinion of it in high
quarters was getting fast downwards, two of the papers this week having called it a ""masterpiece""."
Diary 1861-1877,1863-02-13,116,141,N/A,"13. My head was frail and I wrote little. After lunch we went into the city to
receive a dividend at the Bank. Mr. and Mrs. Hooper called, and after that I was
very ill with headache and vomiting."
Diary 1861-1877,1863-02-14,116,141,N/A,"14. No writing this morning. Corrected proof and wrote to Mrs. Congreve. In
the afternoon we went in a brougham to Hampstead with Herbert Spencer, and
had a walk on the heath. A glorious, clear day!"
Diary 1861-1877,1863-02-15,116,141,N/A,"15. Sunday. G. went to call on Mrs. Charles Knight who had not seen him for
many years and said she should not have known him. I had uneasy incapacitating sensations all day."
Diary 1861-1877,1863-02-22,116,141,N/A,22. At p. 41. Not well. We drove to Wimbledon to see Mr. and Mrs. Congreve
